club_name,player_name,age,position,club_involved_name,fee,transfer_movement,transfer_period,fee_cleaned,league_name,year,season
FC Metz,Carl Medjani,20.0,Defensive Midfield,Uk,loan transfer,in,Summer,0.01,Ligue 1,2005,2005/2006
FC Metz,Szabolcs Huszti,22.0,Left Midfield,Central_EU,?,in,Summer,0.01,Ligue 1,2005,2005/2006
FC Metz,Christophe Marichez,30.0,Goalkeeper,France,?,in,Summer,0.01,Ligue 1,2005,2005/2006
FC Metz,Grégory Paisley,28.0,Left-Back,FC Sochaux,?,in,Summer,0.01,Ligue 1,2005,2005/2006
FC Nantes,Jean-Jacques Pierre,24.0,Centre-Back,South America,1.00m,in,Summer,1,Ligue 1,2005,2005/2006
FC Nantes,Franck Signorino,23.0,Left-Back,FC Metz,1.00m,in,Summer,1,Ligue 1,2005,2005/2006
FC Nantes,Tony Heurtebis,30.0,Goalkeeper,free agents,free transfer,in,Summer,0,Ligue 1,2005,2005/2006
FC Nantes,Imed Mhadhebi,29.0,Left Winger,free agents,free transfer,in,Summer,0,Ligue 1,2005,2005/2006
FC Nantes,Habib Bamogo,23.0,Second Striker,Marseille,loan transfer,in,Summer,0.01,Ligue 1,2005,2005/2006
AS Nancy,Kim,25.0,Centre-Forward,Asia,1.10m,in,Summer,"1,1",Ligue 1,2005,2005/2006
AS Nancy,Adrián Sarkisian,26.0,Left Midfield,South America,1.00m,in,Summer,1,Ligue 1,2005,2005/2006
AS Nancy,André Luiz,25.0,Centre-Back,South America,700Th.,in,Summer,"0,7",Ligue 1,2005,2005/2006
AS Nancy,Sébastien Puygrenier,23.0,Centre-Back,Stade Rennais,200Th.,in,Summer,"0,2",Ligue 1,2005,2005/2006
AS Nancy,Adailton,25.0,Right-Back,free agents,free transfer,in,Summer,0,Ligue 1,2005,2005/2006
AS Nancy,Dagui Bakari,30.0,Centre-Forward,free agents,free transfer,in,Summer,0,Ligue 1,2005,2005/2006
AS Nancy,Abdoulaye Keita,26.0,Defensive Midfield,free agents,free transfer,in,Summer,0,Ligue 1,2005,2005/2006
AS Nancy,Saliou Lassissi,26.0,Centre-Back,free agents,free transfer,in,Summer,0,Ligue 1,2005,2005/2006
Le Mans UC 72,Túlio de Melo,20.0,Centre-Forward,South America,2.00m,in,Summer,2,Ligue 1,2005,2005/2006
Le Mans UC 72,Ismaël Bangoura,20.0,Centre-Forward,France,300Th.,in,Summer,"0,3",Ligue 1,2005,2005/2006
Le Mans UC 72,Romaric,22.0,Defensive Midfield,Belgium,250Th.,in,Summer,"0,25",Ligue 1,2005,2005/2006
Le Mans UC 72,Edo,21.0,Centre-Forward,free agents,free transfer,in,Summer,0,Ligue 1,2005,2005/2006
Le Mans UC 72,Sébastien Gormond,23.0,Defensive Midfield,free agents,free transfer,in,Summer,0,Ligue 1,2005,2005/2006
Le Mans UC 72,Marko Basa,22.0,Centre-Back,free agents,free transfer,in,Summer,0,Ligue 1,2005,2005/2006
Le Mans UC 72,Rodolphe Roche,26.0,Goalkeeper,free agents,free transfer,in,Summer,0,Ligue 1,2005,2005/2006
Le Mans UC 72,Luigi Lavecchia,23.0,Right Midfield,Juventus,loan transfer,in,Summer,0.01,Ligue 1,2005,2005/2006
Le Mans UC 72,Davide Chiumiento,20.0,Attacking Midfield,Juventus,loan transfer,in,Summer,0.01,Ligue 1,2005,2005/2006
Troyes,Florian Boucansaud,24.0,Centre-Back,OGC Nice,Loan fee:250Th.,in,Summer,"0,25",Ligue 1,2005,2005/2006
Troyes,Georges Ba,26.0,Centre-Forward,free agents,free transfer,in,Summer,0,Ligue 1,2005,2005/2006
Troyes,Éloge Enza-Yamissi,22.0,Defensive Midfield,free agents,free transfer,in,Summer,0,Ligue 1,2005,2005/2006
Troyes,Sylvain Meslien,24.0,Centre-Back,free agents,free transfer,in,Summer,0,Ligue 1,2005,2005/2006
Troyes,Auriol Guillaume,25.0,Left-Back,free agents,free transfer,in,Summer,0,Ligue 1,2005,2005/2006
Troyes,Gaël Danic,23.0,Left Winger,free agents,free transfer,in,Summer,0,Ligue 1,2005,2005/2006
Troyes,Blaise Kouassi,30.0,Centre-Back,free agents,free transfer,in,Summer,0,Ligue 1,2005,2005/2006
Troyes,Ronan Le Crom,30.0,Goalkeeper,France,loan transfer,in,Summer,0.01,Ligue 1,2005,2005/2006
